AC3.10	AC3.3
T23G7.1	ZK637.11
T25C8.2	Y37D8A.10
T25C8.2	Y41C4A.10
T26A5.7	W03D2.4
T28A8.7	ZK856.7
W02D3.5	ZK353.6
W02D3.8	Y73B6A.4
W03D2.4	W03D2.4
W03D2.4	Y41C4A.14
W04D2.1	ZK418.4
W05B10.4	ZK792.6
W05H7.3	Y57A10A.16
W05H7.3	ZK1098.5
W06D4.6	Y43C5A.6
W10G6.3	Y37D8A.9
W10G6.3	ZK678.1
Y113G7A.6	ZK637.11
Y113G7B.23	Y113G7B.23
Y116A8C.13	Y43C5A.6
Y11D7A.12	Y11D7A.13
Y37D8A.9	ZK1127.3
Y38A10A.5	Y41C4A.14
Y38A8.2	Y41C4A.14
Y39A1A.23	Y41C4A.14
Y39H10A.7	Y77E11A.2
Y41C4A.14	Y43F11A.5
Y42H9AR.1	ZK945.2
Y43C5A.6	Y43C5A.6
Y43E12A.1	Y45F10A.2
Y45F10A.2	ZC168.4
Y45F10D.13	ZK418.4
Y48G8AL.6	Y61A9LA.3
Y49E10.15	ZK652.1
Y54E2A.3	ZK418.4
Y54E2A.3	ZK678.1
Y57A10A.16	ZK1098.5
Y66H1A.6	ZK20.3
Y66H1B.2	ZK675.2
Y71A12B.6	ZK418.4
Y77E11A.4	ZK20.3
Y79H2A.1	ZK418.4
ZC373.5	ZC373.5
ZK1055.1	ZK678.1
ZK1098.4	ZK1098.4
ZK353.6	ZK353.6
ZK945.2	ZK945.2
